Наименование товара,Токенизированное наименование,Единица измерения,Цена в чеке,Кол-во единиц,Дата,Регион,kkt,ОКАТО,Товар представитель,Объем,Требуемая упаковка,Цена за требуемую упаковку,Факт упаковка
БАНАНЫ (цена за 1кг),бананы цена за 1 кг,кг,74.9,1.834,2019-01-27,"Краснодарский край, Апшеронский р-н, Апшеронск г",614992ea7e0bdeb8787ba91977078fd8,03205501000,Бананы,1.83,1,74.9,1.0
БАНАНЫ (цена за 1кг),бананы цена за 1 кг,кг,74.9,0.94,2019-01-27,"Краснодарский край, Апшеронский р-н, Апшеронск г",614992ea7e0bdeb8787ba91977078fd8,03205501000,Бананы,0.94,1,74.9,1.0
БАНАНЫ (цена за 1кг),бананы цена за 1 кг,кг,74.9,0.39,2019-01-27,"Краснодарский край, Апшеронский р-н, Апшеронск г",614992ea7e0bdeb8787ba91977078fd8,03205501000,Бананы,0.39,1,74.9,1.0
БАНАНЫ (цена за 1кг),бананы цена за 1 кг,кг,72.3,1.094,2019-01-27,"Краснодарский край, Апшеронский р-н, Апшеронск г",614992ea7e0bdeb8787ba91977078fd8,03205501000,Бананы,1.09,1,72.3,1.0
БАНАНЫ (цена за 1кг),бананы цена за 1 кг,кг,74.9,0.75,2019-01-27,"Краснодарский край, Апшеронский р-н, Апшеронск г",614992ea7e0bdeb8787ba91977078fd8,03205501000,Бананы,0.75,1,74.9,1.0
БАНАНЫ (цена за 1кг),бананы цена за 1 кг,кг,74.9,3.358,2019-01-27,"Краснодарский край, Апшеронский р-н, Апшеронск г",614992ea7e0bdeb8787ba91977078fd8,03205501000,Бананы,3.36,1,74.9,1.0
БАНАНЫ (цена за 1кг),бананы цена за 1 кг,кг,74.9,1.652,2019-01-27,"Краснодарский край, Апшеронский р-н, Апшеронск г",614992ea7e0bdeb8787ba91977078fd8,03205501000,Бананы,1.65,1,74.9,1.0
БАНАНЫ (цена за 1кг),бананы цена за 1 кг,кг,74.9,0.502,2019-01-27,"Краснодарский край, Апшеронский р-н, Апшеронск г",614992ea7e0bdeb8787ba91977078fd8,03205501000,Бананы,0.5,1,74.9,1.0
БАНАНЫ (цена за 1кг),бананы цена за 1 кг,кг,61.9,0.524,2019-01-27,"Московская область, г. Химки",6af2a331cf7c36cd90142242c3d7e6ad,46483000000,Бананы,0.52,1,61.9,1.0
БАНАНЫ (цена за 1кг),бананы цена за 1 кг,кг,63.9,0.89,2019-01-27,"Астраханская область, р-н Харабалинский, г Харабали",2613f3b71edefcff02ae6896af4d69eb,12245501000,Бананы,0.89,1,63.9,1.0
БАНАНЫ (цена за 1кг),бананы цена за 1 кг,кг,61.9,1.408,2019-01-27,Г.Москва,cfe0268c6e310bd83f3c9b8f0b852685,45000000000,Бананы,1.41,1,61.9,1.0
БАНАНЫ (цена за 1кг),бананы цена за 1 кг,кг,63.9,1.146,2019-01-27,"Волгоградская область, г Волгоград",8fd100f33985a72f43443a139688715b,18401000000,Бананы,1.15,1,63.9,1.0
БАНАНЫ (цена за 1кг),бананы цена за 1 кг,кг,63.9,0.488,2019-01-27,"Волгоградская область, г Волгоград",8fd100f33985a72f43443a139688715b,18401000000,Бананы,0.49,1,63.9,1.0
БАНАНЫ (цена за 1кг),бананы цена за 1 кг,кг,63.9,1.158,2019-01-27,"Волгоградская область, г Волгоград",8fd100f33985a72f43443a139688715b,18401000000,Бананы,1.16,1,63.9,1.0
БАНАНЫ (цена за 1кг),бананы цена за 1 кг,кг,63.9,0.852,2019-01-27,"Волгоградская область, г Волгоград",8fd100f33985a72f43443a139688715b,18401000000,Бананы,0.85,1,63.9,1.0
БАНАНЫ (цена за 1кг),бананы цена за 1 кг,кг,63.9,0.396,2019-01-27,"Волгоградская область, г Волгоград",8fd100f33985a72f43443a139688715b,18401000000,Бананы,0.4,1,63.9,1.0
БАНАНЫ (цена за 1кг),бананы цена за 1 кг,кг,69.9,0.654,2019-01-27,"Свердловская область, р-н Сысертский, г Арамиль",da09dd4f435aeaa3294e7d28e99a1a95,65241000007,Бананы,0.65,1,69.9,1.0
БАНАНЫ (цена за 1кг),бананы цена за 1 кг,кг,69.9,0.6,2019-01-27,"Свердловская область, р-н Сысертский, г Арамиль",da09dd4f435aeaa3294e7d28e99a1a95,65241000007,Бананы,0.6,1,69.9,1.0
БАНАНЫ (цена за 1кг),бананы цена за 1 кг,кг,69.9,0.366,2019-01-27,"Свердловская область, р-н Сысертский, г Арамиль",da09dd4f435aeaa3294e7d28e99a1a95,65241000007,Бананы,0.37,1,69.9,1.0
БАНАНЫ (цена за 1кг),бананы цена за 1 кг,кг,69.9,0.814,2019-01-27,"Свердловская область, р-н Сысертский, г Арамиль",da09dd4f435aeaa3294e7d28e99a1a95,65241000007,Бананы,0.81,1,69.9,1.0
БАНАНЫ (цена за 1кг),бананы цена за 1 кг,кг,69.9,0.972,2019-01-27,"Свердловская область, р-н Сысертский, г Арамиль",da09dd4f435aeaa3294e7d28e99a1a95,65241000007,Бананы,0.97,1,69.9,1.0
БАНАНЫ (цена за 1кг),бананы цена за 1 кг,кг,54.9,0.9,2019-01-27,Г.Санкт-Петербург,733791886f616d89bf60d9a248bf8678,40000000000,Бананы,0.9,1,54.9,1.0
